name,result.year,result.code,result.category
22696698,2018,LC,Least Concern
22696698,2016,LC,Least Concern
22696698,2012,LC,Least Concern
22696698,2009,LC,Least Concern
22696698,2008,LC,Least Concern
22696698,2004,LC,Least Concern
22696698,2000,LR/lc,Lower Risk/least concern
22696698,1994,LR/lc,Lower Risk/least concern
22696698,1988,LR/lc,Lower Risk/least concern
22736173,2018,LC,Least Concern
22736173,2016,LC,Least Concern
22736173,2012,LC,Least Concern
22736173,2010,LC,Least Concern
22736173,2008,NR,Not Recognized
22736173,2004,NR,Not Recognized
22736173,2000,NR,Not Recognized
22736173,1994,NR,Not Recognized
22736173,1988,NR,Not Recognized
22696694,2018,LC,Least Concern
22696694,2016,LC,Least Concern
22696694,2012,LC,Least Concern
22696694,2009,LC,Least Concern
22696694,2008,LC,Least Concern
22696694,2004,LC,Least Concern
22696694,2000,LR/lc,Lower Risk/least concern
22696694,1994,LR/lc,Lower Risk/least concern
22696694,1988,LR/lc,Lower Risk/least concern
22694799,2018,LC,Least Concern
22694799,2016,LC,Least Concern
22694799,2012,LC,Least Concern
22694799,2009,LC,Least Concern
22694799,2008,LC,Least Concern
22694799,2004,LC,Least Concern
22694799,2000,LR/lc,Lower Risk/least concern
22694799,1994,LR/lc,Lower Risk/least concern
22694799,1988,LR/lc,Lower Risk/least concern
22694794,2018,LC,Least Concern
22694794,2016,LC,Least Concern
22694794,2012,LC,Least Concern
22694794,2009,LC,Least Concern
22694794,2008,LC,Least Concern
22694794,2004,LC,Least Concern
22694794,2000,LR/lc,Lower Risk/least concern
22694794,1994,LR/lc,Lower Risk/least concern
22694794,1988,LR/lc,Lower Risk/least concern
22697733,2018,LC,Least Concern
22697733,2016,LC,Least Concern
22697733,2012,LC,Least Concern
22697733,2009,LC,Least Concern
22697733,2008,LC,Least Concern
22697733,2004,LC,Least Concern
22697733,2000,LR/lc,Lower Risk/least concern
22697733,1994,LR/lc,Lower Risk/least concern
22697733,1988,LR/lc,Lower Risk/least concern
22693182,2016,VU,Vulnerable
22693182,2012,VU,Vulnerable
22693182,2008,VU,Vulnerable
22693182,2006,VU,Vulnerable
22693182,2004,VU,Vulnerable
22693182,2000,VU,Vulnerable
22693182,1996,VU,Vulnerable
22693182,1994,VU,Vulnerable
22693182,1988,T,Threatened
22693735,2016,LC,Least Concern
22693735,2012,LC,Least Concern
22693735,2009,LC,Least Concern
22693735,2008,LC,Least Concern
22693735,2004,LC,Least Concern
22693735,2000,LR/lc,Lower Risk/least concern
22693735,1994,LR/lc,Lower Risk/least concern
22693735,1988,LR/lc,Lower Risk/least concern
22693336,2019,LC,Least Concern
22693336,2016,LC,Least Concern
22693336,2012,LC,Least Concern
22693336,2009,LC,Least Concern
22693336,2008,LC,Least Concern
22693336,2004,LC,Least Concern
22693336,2000,LR/lc,Lower Risk/least concern
22693336,1994,LR/lc,Lower Risk/least concern
22693336,1988,LR/lc,Lower Risk/least concern
20733,2018,LC,Least Concern
20733,2012,DD,Data Deficient
20733,2008,DD,Data Deficient
20733,1996,LR/cd,Lower Risk/conservation dependent
39381,2019,NT,Near Threatened
39381,2009,NT,Near Threatened
39381,2000,LR/nt,Lower Risk/near threatened
39341,2019,EN,Endangered
39341,2009,VU,Vulnerable
39341,2000,LR/nt,Lower Risk/near threatened
4592,2004,EN,Endangered
4592,1996,VU,Vulnerable
4292,2019,EN,Endangered
4292,2009,VU,Vulnerable
4292,2000,VU,Vulnerable
4292,1996,VU,Vulnerable
4292,1994,K,Insufficiently Known
4292,1990,K,Insufficiently Known
4615,2004,EN,Endangered
4615,1996,EN,Endangered
4615,1994,E,Endangered
4615,1990,E,Endangered
4615,1988,E,Endangered
4615,1986,E,Endangered
4615,1982,E,Endangered
39378,2019,NT,Near Threatened
39378,2009,NT,Near Threatened
39378,2000,LR/nt,Lower Risk/near threatened
13006,2018,LC,Least Concern
13006,2008,LC,Least Concern
13006,1996,VU,Vulnerable
13006,1994,V,Vulnerable
13006,1990,V,Vulnerable
13006,1988,E,Endangered
13006,1986,E,Endangered
13006,1965,NA,"""Less rare but believed to be threatened-requires watching"""
22694740,2018,LC,Least Concern
22694740,2016,LC,Least Concern
22694740,2012,LC,Least Concern
22694740,2009,LC,Least Concern
22694740,2008,LC,Least Concern
22694740,2004,LC,Least Concern
22694740,2000,LR/lc,Lower Risk/least concern
22694740,1994,LR/lc,Lower Risk/least concern
22694740,1988,LR/lc,Lower Risk/least concern
22693305,2016,LC,Least Concern
22693305,2012,LC,Least Concern
22693305,2009,LC,Least Concern
22693305,2008,LC,Least Concern
22693305,2004,LC,Least Concern
22693305,2000,LR/lc,Lower Risk/least concern
22693305,1994,LR/lc,Lower Risk/least concern
22693305,1988,LR/lc,Lower Risk/least concern
41714,2019,NT,Near Threatened
41714,2012,DD,Data Deficient
41714,2008,DD,Data Deficient
41714,1996,DD,Data Deficient
16564,2019,LC,Least Concern
16564,2008,LC,Least Concern
16564,1996,LR/lc,Lower Risk/least concern
16564,1994,K,Insufficiently Known
22137,1996,VU,Vulnerable
22137,1994,V,Vulnerable
22137,1990,V,Vulnerable
22137,1988,V,Vulnerable
22137,1986,V,Vulnerable
22137,1983,V,Vulnerable
2811,1996,DD,Data Deficient
2811,1994,R,Rare
2811,1990,R,Rare
2811,1988,R,Rare
2811,1986,R,Rare
2811,1983,R,Rare
